Latitude,Longitude,Measurement_Surface
41.1753,-121.8561,joint plane
41.1726,-121.8601,joint plane
41.1763,-121.8408,joint plane
41.1782,-121.8425,joint plane
41.1789,-121.8435,joint plane
41.1792,-121.8455,joint plane
41.1696,-121.8373,joint plane
41.1696,-121.8373,joint plane
41.1696,-121.8373,joint plane
41.1414,-121.7721,joint plane
41.0272,-121.9194,bedding plane
41.1392,-121.7723,bedding plane
41.1084,-121.7912,joint plane
41.1084,-121.7911,joint plane
41.0724,-121.7702,contact
41.0911,-121.8017,joint plane
41.0911,-121.8017,joint plane
41.0911,-121.8017,joint plane
41.0911,-121.8017,joint plane
41.0911,-121.8017,joint plane
41.0911,-121.8017,joint plane
41.094,-121.801,joint plane
41.094,-121.801,joint plane
41.094,-121.801,joint plane
41.094,-121.801,joint plane
41.1085,-121.791,joint plane
41.1085,-121.791,joint plane
41.1539,-121.777,bedding plane
41.0778,-121.8247,bedding plane
41.1544,-121.7745,joint plane
41.1675,-121.7808,contact
41.1087,-121.7911,joint plane
41.1086,-121.7912,joint plane
41.1622,-121.7792,bedding plane
41.135,-121.8382,bedding plane
41.1365,-121.8385,bedding plane
41.1355,-121.8393,bedding plane
41.1357,-121.8402,bedding plane
41.0829,-121.7017,flow top?
41.0824,-121.7021,joint plane
41.0695,-121.6865,flow top
41.1029,-121.7088,
41.117,-121.753,flow top?
41.1086,-121.7632,flow top?
41.1114,-121.7478,flow top?
41.116,-121.7492,contact between flows and tuff
41.1917,-121.8141,bedding plane? Top of tuff flow
41.1916,-121.8149,flow top
41.1917,-121.8152,flow top
41.1914,-121.8154,flow top
41.1824,-121.8076,flow top
41.1811,-121.8071,joint plane?
41.1745,-121.8146,joint plane?
41.1809,-121.8066,flow top
41.1806,-121.8068,flow top
41.2126,-121.8784,flow top
41.1742,-121.7906,flow top
41.1765,-121.7862,flow top?
41.177,-121.7858,flow top?
41.1794,-121.7867,flow top?
41.1793,-121.783,flow top?
41.1711,-121.7988,flow top?
41.171,-121.8008,bedding plane
41.1848,-121.812,
41.2067,-121.8542,flow banding
41.2058,-121.8546,flow banding
41.0562,-121.7643,joint plane
41.0827,-121.7988,joint plane
41.0824,-121.7983,joint plane
41.091,-121.8017,joint plane
41.091,-121.8017,joint plane
41.0937,-121.8013,joint plane
41.0937,-121.7996,joint plane
41.108,-121.7876,joint plane
41.1086,-121.7913,joint plane
41.0938,-121.774,flow top?
41.1087,-121.706,flow top?
41.1042,-121.708,flow banding
41.0956,-121.7066,flow banding
41.1391,-121.7723,bedding plane
41.162,-121.7791,bedding plane
41.1617,-121.7793,flow foliations
41.1599,-121.7784,bedding plane
41.1568,-121.7742,bedding plane
41.1544,-121.7744,flow top
41.1756,-121.8965,
41.1723,-121.8981,
41.1667,-121.908,
41.1733,-121.882,
41.1855,-121.8804,
41.1702,-121.8351,flow foliation
41.1732,-121.8377,flow foliation
41.176,-121.8402, 
41.1793,-121.8397,flow foliation
41.1821,-121.8388,flow foliation
41.1962,-121.8421,
41.1912,-121.8149,
41.2045,-121.8359,
41.2078,-121.8538,
41.1539,-121.9171,
41.1976,-121.8615,
41.2119,-121.8639,
41.1741,-121.8764,
41.1795,-121.8897,flow foliation
41.1756,-122.1951,
41.1577,-122.1473,
41.1764,-122.119,
41.1955,-122.0481,
41.179,-122.0439,
41.1217,-122.0833,
41.109,-122.0443,
41.1165,-122.0545,
41.1014,-122.0065,
41.0961,-122.013,
41.0632,-122.0287,
41.0177,-122.033,
41.0588,-122.0979,
41.0538,-122.0921,
41.0443,-122.0723,
41.0073,-122.0667,
41.0263,-122.0493,
41.0282,-122.1427,
41.0271,-122.2818,
41.1449,-122.17,
41.1457,-122.1783,
41.1824,-121.807,
41.1544,-121.7744,
41.1675,-121.7808,
41.1539,-121.777,
41.0573,-121.9212, 
41.046,-121.9277, 
